2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,455 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,455 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,482 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,482 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,483 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,483 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,483 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,483 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,484 DEBUG     unimplemented method _ISpeechVoiceEvents_Word called
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,484 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,484 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,484 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,484 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,485 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,485 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,485 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,485 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,486 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,486 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,486 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,486 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,487 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,487 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,487 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,487 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,487 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,488 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,488 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,488 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,488 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,488 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
